Trials this experiment will run for: 100
-------------------------------------------
Weak Collision Trial 1, Attempts: 8575014
Strong Collision Trial 1, Attempts: 4019
Weak Collision Trial 2, Attempts: 41523248
Strong Collision Trial 2, Attempts: 1611
Weak Collision Trial 3, Attempts: 12824787
Strong Collision Trial 3, Attempts: 4466
Weak Collision Trial 4, Attempts: 13052860
Strong Collision Trial 4, Attempts: 2492
Weak Collision Trial 5, Attempts: 28443861
Strong Collision Trial 5, Attempts: 7565
Weak Collision Trial 6, Attempts: 4473294
Strong Collision Trial 6, Attempts: 4490
Weak Collision Trial 7, Attempts: 45947661
Strong Collision Trial 7, Attempts: 6081
Weak Collision Trial 8, Attempts: 19257436
Strong Collision Trial 8, Attempts: 6687
Weak Collision Trial 9, Attempts: 9627382
Strong Collision Trial 9, Attempts: 2228
Weak Collision Trial 10, Attempts: 4278196
Strong Collision Trial 10, Attempts: 1709
Weak Collision Trial 11, Attempts: 46579877
Strong Collision Trial 11, Attempts: 4221
Weak Collision Trial 12, Attempts: 19364742
Strong Collision Trial 12, Attempts: 4624
Weak Collision Trial 13, Attempts: 3212571
Strong Collision Trial 13, Attempts: 5863
Weak Collision Trial 14, Attempts: 46080785
Strong Collision Trial 14, Attempts: 6629
Weak Collision Trial 15, Attempts: 20580463
Strong Collision Trial 15, Attempts: 3239
Weak Collision Trial 16, Attempts: 88763377
Strong Collision Trial 16, Attempts: 5780
Weak Collision Trial 17, Attempts: 25025
Strong Collision Trial 17, Attempts: 8296
Weak Collision Trial 18, Attempts: 16136242
Strong Collision Trial 18, Attempts: 6858
Weak Collision Trial 19, Attempts: 71931487
Strong Collision Trial 19, Attempts: 1575
Weak Collision Trial 20, Attempts: 10048577
Strong Collision Trial 20, Attempts: 1986
Weak Collision Trial 21, Attempts: 513412
Strong Collision Trial 21, Attempts: 3964
Weak Collision Trial 22, Attempts: 3182346
Strong Collision Trial 22, Attempts: 5817
Weak Collision Trial 23, Attempts: 15765447
Strong Collision Trial 23, Attempts: 4697
Weak Collision Trial 24, Attempts: 5362438
Strong Collision Trial 24, Attempts: 1320
Weak Collision Trial 25, Attempts: 3908441
Strong Collision Trial 25, Attempts: 7541
Weak Collision Trial 26, Attempts: 15646563
Strong Collision Trial 26, Attempts: 7500
Weak Collision Trial 27, Attempts: 459243
Strong Collision Trial 27, Attempts: 5302
Weak Collision Trial 28, Attempts: 10594529
Strong Collision Trial 28, Attempts: 9709
Weak Collision Trial 29, Attempts: 20201969
Strong Collision Trial 29, Attempts: 8741
Weak Collision Trial 30, Attempts: 40269350
Strong Collision Trial 30, Attempts: 4104
Weak Collision Trial 31, Attempts: 140635202
Strong Collision Trial 31, Attempts: 5552
Weak Collision Trial 32, Attempts: 101742
Strong Collision Trial 32, Attempts: 5326
Weak Collision Trial 33, Attempts: 14057332
Strong Collision Trial 33, Attempts: 3321
Weak Collision Trial 34, Attempts: 834944
Strong Collision Trial 34, Attempts: 6301
Weak Collision Trial 35, Attempts: 14723260
Strong Collision Trial 35, Attempts: 1423
Weak Collision Trial 36, Attempts: 1583052
